V1	V3	V13	Protein.names	Organism	Gene.Ontology..biological.process.	Gene.Ontology.IDs
Ab_contig_715	Q8HXY0	1.18e-43	Electron transfer flavoprotein subunit alpha, mitochondrial (Alpha-ETF)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	fatty acid beta-oxidation using acyl-CoA dehydrogenase [GO:0033539]	GO:0005759; GO:0009055; GO:0033539; GO:0050660
Ab_contig_716	Q08890	2.98e-25	Iduronate 2-sulfatase (EC 3.1.6.13) (Alpha-L-iduronate sulfate sulfatase)	Mus musculus (Mouse)	dermatan sulfate catabolic process [GO:0030209]; glycosaminoglycan catabolic process [GO:0006027]; heparan sulfate proteoglycan catabolic process [GO:0030200]	GO:0004423; GO:0005509; GO:0005737; GO:0005764; GO:0006027; GO:0008484; GO:0030200; GO:0030209; GO:0043202
Ab_contig_727	P02350	2.08e-56	40S ribosomal protein S3-A (EC 4.2.99.18) (S1A)	Xenopus laevis (African clawed frog)	apoptotic process [GO:0006915]; cell cycle [GO:0007049]; cell division [GO:0051301]; DNA repair [GO:0006281]; regulation of translation [GO:0006417]; translation [GO:0006412]	GO:0003677; GO:0003723; GO:0003735; GO:0005730; GO:0005743; GO:0005819; GO:0006281; GO:0006412; GO:0006417; GO:0006915; GO:0007049; GO:0015935; GO:0051301; GO:0140078
Ab_contig_728	Q1HPK6	5.34e-180	Translation elongation factor 2 (EF-2)	Bombyx mori (Silk moth)		GO:0003746; GO:0003924; GO:0005525; GO:0005737
Ab_contig_729	G1T1F0	3.81e-38	NA	NA	NA	NA
Ab_contig_730	P54357	7.39e-66	Myosin-2 essential light chain (Myosin II essential light chain) (Non-muscle myosin essential light chain)	Drosophila melanogaster (Fruit fly)	actin filament-based movement [GO:0030048]	GO:0005509; GO:0005829; GO:0016460; GO:0017022; GO:0030048; GO:0031475; GO:0031476; GO:0031477; GO:0032036
Ab_contig_734	Q9GMB0	1.75e-39	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1)	Sus scrofa (Pig)	protein N-linked glycosylation via asparagine [GO:0018279]	GO:0008250; GO:0018279; GO:0042470
Ab_contig_744	Q9V3G7	1.07e-49	26S proteasome non-ATPase regulatory subunit 6 (26S proteasome regulatory subunit S10) (Protein Rpn7)	Drosophila melanogaster (Fruit fly)	proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0000502; GO:0005654; GO:0005829; GO:0005838; GO:0008541; GO:0043161
Ab_contig_746	B3EWZ6	2.86e-50	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	7.8e-43	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	1.02e-42	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	5.58e-42	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	2.51e-41	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	1.02e-40	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	1.04e-40	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	4.54e-40	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	6.12e-40	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	1.1e-39	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	2.68e-39	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	4.83e-38	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	6.83e-38	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	1.84e-37	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	3.55e-37	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	3.58e-36	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	2.23e-34	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	2.48e-34	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	4.64e-34	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	8.2e-34	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	2.01e-33	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	4.25e-33	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	2.06e-32	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	5.72e-32	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	6.74e-32	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	4.79e-27	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	2.18e-26	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	4.66e-26	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	1.55e-23	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	1.16e-21	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_746	B3EWZ6	5.42e-21	MAM and LDL-receptor class A domain-containing protein 2 (Skeletal organic matrix MAM and LDL-receptor 2) (SOM MAM and LDL-receptor 2)	Acropora millepora (Staghorn coral) (Heteropora millepora)		GO:0005576; GO:0016020
Ab_contig_747	G1SQH0	1.09e-47	NA	NA	NA	NA
Ab_contig_755	P07097	8.95e-41	Acetyl-CoA acetyltransferase (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (Beta-ketothiolase)	Shinella zoogloeoides (Crabtreella saccharophila)	poly-hydroxybutyrate biosynthetic process [GO:0042619]	GO:0003985; GO:0005737; GO:0042619
Ab_contig_763	H9XP47	4.99e-24	NA	NA	NA	NA
Ab_contig_770	Q6DV14	4.3e-46	Peroxiredoxin-1 (EC 1.11.1.24) (Thioredoxin-dependent peroxiredoxin 1)	Gekko japonicus (Schlegel's Japanese gecko)		GO:0005737; GO:0140824
Ab_contig_771	Q4KTG9	7.32e-51	60S ribosomal protein L17	Suberites domuncula (Sponge)	translation [GO:0006412]	GO:0003735; GO:0006412; GO:0015934
Ab_contig_780	P83362	5.14e-28	Signal peptidase complex subunit 1 (Microsomal signal peptidase 12 kDa subunit) (SPase 12 kDa subunit)	Canis lupus familiaris (Dog) (Canis familiaris)	signal peptide processing [GO:0006465]	GO:0005787; GO:0005789; GO:0006465; GO:0043022
Ab_contig_781	O61998	1.29e-109	Heat shock protein 90	Brugia pahangi (Filarial nematode worm)		GO:0005524; GO:0005737; GO:0016887; GO:0051082; GO:0140662
Ab_contig_787	Q56FG6	1.25e-38	60S ribosomal protein L5	Lysiphlebus testaceipes (Greenbugs aphid parastoid)	translation [GO:0006412]	GO:0003735; GO:0005634; GO:0005737; GO:0005840; GO:0006412; GO:0008097; GO:1990904
Ab_contig_789	P70670	2.03e-27	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	Mus musculus (Mouse)	myoblast migration [GO:0051451]; negative regulation of protein localization to endoplasmic reticulum [GO:1905551]; protein targeting to membrane [GO:0006612]	GO:0003677; GO:0003713; GO:0005634; GO:0005737; GO:0005854; GO:0006612; GO:0017025; GO:0051082; GO:0051451; GO:1905551
Ab_contig_799	Q9UM22	3.52e-27	Mammalian ependymin-related protein 1 (MERP-1) (Upregulated in colorectal cancer gene 1 protein)	Homo sapiens (Human)	cell-matrix adhesion [GO:0007160]; myofibroblast contraction [GO:1990764]	GO:0005509; GO:0005543; GO:0005576; GO:0005764; GO:0007160; GO:0042802; GO:0043202; GO:1905573; GO:1990764
Ab_contig_804	P26221	3.16e-34	Endoglucanase E-4 (EC 3.2.1.4) (Cellulase E-4) (Cellulase E4) (Endo-1,4-beta-glucanase E-4)	Thermobifida fusca (Thermomonospora fusca)	cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245; GO:0030248
Ab_contig_810	Q5RF02	5.4400000000000004e-34	T-complex protein 1 subunit epsilon (TCP-1-epsilon) (CCT-epsilon)	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)		GO:0005524; GO:0005815; GO:0005832; GO:0016887; GO:0031681; GO:0051082; GO:0140662
Ab_contig_815	P00787	3.75e-128	Cathepsin B (EC 3.4.22.1) (Cathepsin B1) (RSG-2) [Cleaved into: Cathepsin B light chain; Cathepsin B heavy chain]	Rattus norvegicus (Rat)	autophagy [GO:0006914]; cellular response to mechanical stimulus [GO:0071260]; cellular response to thyroid hormone stimulus [GO:0097067]; collagen catabolic process [GO:0030574]; decidualization [GO:0046697]; epithelial cell differentiation [GO:0030855]; negative regulation of cell death [GO:0060548]; negative regulation of peptidase activity [GO:0010466]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; response to amine [GO:0014075]; response to cytokine [GO:0034097]; response to dexamethasone [GO:0071548]; response to ethanol [GO:0045471]; response to glucose [GO:0009749]; response to interleukin-4 [GO:0070670]; response to mechanical stimulus [GO:0009612]; response to organic cyclic compound [GO:0014070]; response to peptide hormone [GO:0043434]; response to wounding [GO:0009611]; skeletal muscle tissue development [GO:0007519]; spermatogenesis [GO:0007283]; thyroid hormone generation [GO:0006590]; viral entry into host cell [GO:0046718]	GO:0004175; GO:0004197; GO:0005518; GO:0005576; GO:0005615; GO:0005737; GO:0005739; GO:0005764; GO:0006508; GO:0006590; GO:0006914; GO:0007283; GO:0007519; GO:0008233; GO:0008234; GO:0009611; GO:0009612; GO:0009749; GO:0009897; GO:0009986; GO:0010466; GO:0014070; GO:0014075; GO:0016324; GO:0030163; GO:0030574; GO:0030855; GO:0030984; GO:0034097; GO:0042277; GO:0042383; GO:0042470; GO:0043394; GO:0043434; GO:0043621; GO:0044877; GO:0045471; GO:0046697; GO:0046718; GO:0048471; GO:0051603; GO:0060548; GO:0070670; GO:0071260; GO:0071548; GO:0097067; GO:1904090
Ab_contig_819	P28491	3.07e-55	Calreticulin (CRP55) (Calregulin) (Endoplasmic reticulum resident protein 60) (ERp60) (HACBP)	Sus scrofa (Pig)	cellular senescence [GO:0090398]; cortical actin cytoskeleton organization [GO:0030866]; negative regulation of intracellular steroid hormone receptor signaling pathway [GO:0033144]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of retinoic acid receptor signaling pathway [GO:0048387]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of translation [GO:0017148]; negative regulation of trophoblast cell migration [GO:1901164]; peptide antigen assembly with MHC class I protein complex [GO:0002502]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of dendritic cell chemotaxis [GO:2000510]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of gene expression [GO:0010628]; positive regulation of NIK/NF-kappaB signaling [GO:1901224]; positive regulation of phagocytosis [GO:0050766]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein export from nucleus [GO:0006611]; protein folding [GO:0006457]; protein localization to nucleus [GO:0034504]; protein stabilization [GO:0050821]; regulation of meiotic nuclear division [GO:0040020]; ubiquitin-dependent ERAD pathway [GO:0030433]	GO:0000122; GO:0002502; GO:0003729; GO:0005178; GO:0005509; GO:0005615; GO:0005635; GO:0005789; GO:0005829; GO:0005844; GO:0006457; GO:0006611; GO:0008284; GO:0009897; GO:0010595; GO:0010628; GO:0017148; GO:0030246; GO:0030433; GO:0030866; GO:0031625; GO:0033018; GO:0033144; GO:0034504; GO:0040020; GO:0042824; GO:0044194; GO:0044322; GO:0045665; GO:0045787; GO:0048387; GO:0048471; GO:0050681; GO:0050766; GO:0050821; GO:0051082; GO:0060473; GO:0090398; GO:1900026; GO:1901164; GO:1901224; GO:2000510
Ab_contig_820	C5FFQ7	4.47e-23	Probable NAD(P)H-dependent D-xylose reductase xyl1 (XR) (EC 1.1.1.307)	Arthroderma otae (strain ATCC MYA-4605 / CBS 113480) (Microsporum canis)	D-xylose catabolic process [GO:0042843]	GO:0032866; GO:0042843
Ab_contig_835	P26221	1.37e-47	Endoglucanase E-4 (EC 3.2.1.4) (Cellulase E-4) (Cellulase E4) (Endo-1,4-beta-glucanase E-4)	Thermobifida fusca (Thermomonospora fusca)	cellulose catabolic process [GO:0030245]	GO:0008810; GO:0030245; GO:0030248
Ab_contig_840	O18404	3.77e-38	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-hydroxysteroid dehydrogenase 10) (17-beta-HSD 10) (EC 1.1.1.51, EC 1.1.1.62) (3-hydroxyacyl-CoA dehydrogenase type II) (Hydroxysteroid dehydrogenase) (EC 1.1.1.-, EC 1.1.1.53) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Scully protein) (Type II HADH)	Drosophila melanogaster (Fruit fly)	acyl-CoA metabolic process [GO:0006637]; androgen metabolic process [GO:0008209]; ecdysone metabolic process [GO:0008205]; estrogen metabolic process [GO:0008210]; fatty acid metabolic process [GO:0006631]; mitochondrial tRNA processing [GO:0090646]; steroid metabolic process [GO:0008202]	GO:0003857; GO:0004303; GO:0005739; GO:0006631; GO:0006637; GO:0008202; GO:0008205; GO:0008209; GO:0008210; GO:0016229; GO:0018454; GO:0030678; GO:0035410; GO:0044594; GO:0047015; GO:0047022; GO:0047035; GO:0090646; GO:0106282; GO:0106283
Ab_contig_842	Q2PFX5	2.39e-45	Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	cellular calcium ion homeostasis [GO:0006874]; positive regulation of ATP-dependent activity [GO:0032781]; regulation of calcium-mediated signaling [GO:0050848]	GO:0004341; GO:0005509; GO:0005634; GO:0005737; GO:0006874; GO:0008270; GO:0030234; GO:0032781; GO:0050848
Ab_contig_845	P02556	1.23e-103	Tubulin beta chain (Beta-tubulin)	Lytechinus pictus (Painted sea urchin)	microtubule-based process [GO:0007017]	GO:0003924; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017
Ab_contig_847	A1L108	1.08e-36	Actin-related protein 2/3 complex subunit 5-like protein (Arp2/3 complex 16 kDa subunit 2) (ARC16-2)	Rattus norvegicus (Rat)	Arp2/3 complex-mediated actin nucleation [GO:0034314]; cell migration [GO:0016477]; regulation of actin filament polymerization [GO:0030833]	GO:0005737; GO:0005885; GO:0016477; GO:0030833; GO:0034314; GO:0045202; GO:0051015; GO:0098978
Ab_contig_852	P40320	2.38e-63	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (Methionine adenosyltransferase) (MAT)	Drosophila melanogaster (Fruit fly)	determination of adult lifespan [GO:0008340]; one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]	GO:0004478; GO:0005524; GO:0005829; GO:0006556; GO:0006730; GO:0008340; GO:0046872
Ab_contig_861	D6WMX4	7.52e-40	Serine/threonine-protein kinase Pink1, mitochondrial (EC 2.7.11.1) (PTEN-induced putative kinase 1)	Tribolium castaneum (Red flour beetle)	autophagy of mitochondrion [GO:0000422]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of free ubiquitin chain polymerization [GO:1904544]; positive regulation of mitochondrial fission [GO:0090141]; positive regulation of protein ubiquitination [GO:0031398]; protein autophosphorylation [GO:0046777]; protein phosphorylation [GO:0006468]; regulation of apoptotic process [GO:0042981]	GO:0000422; GO:0004672; GO:0004674; GO:0005524; GO:0005739; GO:0005741; GO:0005743; GO:0005829; GO:0006468; GO:0018105; GO:0031398; GO:0031625; GO:0042981; GO:0046777; GO:0046872; GO:0090141; GO:1904544
Ab_contig_862	Q3ZBV9	2.22e-60	Dehydrogenase/reductase SDR family member 11 (17-beta-hydroxysteroid dehydrogenase) (3-beta-hydroxysteroid 3-dehydrogenase) (EC 1.1.1.270) (Estradiol 17-beta-dehydrogenase) (EC 1.1.1.62) (Short-chain dehydrogenase/reductase family 24C member 1)	Bos taurus (Bovine)	estrogen biosynthetic process [GO:0006703]	GO:0000166; GO:0000253; GO:0005576; GO:0006703; GO:0044594; GO:0102176
Ab_contig_867	O43390	5.04e-32	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	Homo sapiens (Human)	mRNA processing [GO:0006397]; mRNA splicing, via spliceosome [GO:0000398]	GO:0000398; GO:0003723; GO:0003729; GO:0005634; GO:0005654; GO:0005681; GO:0005783; GO:0006397; GO:0071013; GO:1990904
Ab_contig_870	Q96JD6	6.01e-38	1,5-anhydro-D-fructose reductase (AF reductase) (EC 1.1.1.263) (Aldo-keto reductase family 1 member C-like protein 2) (Aldo-keto reductase family 1 member E2) (LoopADR) (Testis aldo-keto reductase) (htAKR) (Testis-specific protein) (hTSP)	Homo sapiens (Human)		GO:0004032; GO:0005829; GO:0016491; GO:0050571
Ab_contig_875	P12261	4.57e-63	Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma)	Artemia salina (Brine shrimp)		GO:0003746
Ab_contig_881	Q54468	1.27e-24	Chitobiase (EC 3.2.1.52) (Beta-N-acetylhexosaminidase) (N-acetyl-beta-glucosaminidase)	Serratia marcescens	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	GO:0000272; GO:0004563; GO:0006032; GO:0030247; GO:0042597; GO:0102148
Ab_contig_889	Q8HXQ0	5.3e-72	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Macaca mulatta (Rhesus macaque)	auditory receptor cell stereocilium organization [GO:0060088]; cellular iron ion homeostasis [GO:0006879]; embryo implantation [GO:0007566]; glutathione metabolic process [GO:0006749]; heart contraction [GO:0060047]; hydrogen peroxide biosynthetic process [GO:0050665]; locomotory behavior [GO:0007626]; muscle cell cellular homeostasis [GO:0046716]; myeloid cell homeostasis [GO:0002262]; negative regulation of cholesterol biosynthetic process [GO:0045541]; negative regulation of neuron apoptotic process [GO:0043524]; neurofilament cytoskeleton organization [GO:0060052]; ovarian follicle development [GO:0001541]; peripheral nervous system myelin maintenance [GO:0032287]; positive regulation of catalytic activity [GO:0043085]; positive regulation of cytokine production [GO:0001819]; positive regulation of MAPK cascade [GO:0043410]; reactive oxygen species metabolic process [GO:0072593]; regulation of blood pressure [GO:0008217]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of multicellular organism growth [GO:0040014]; regulation of protein kinase activity [GO:0045859]; relaxation of vascular associated smooth muscle [GO:0060087]; removal of superoxide radicals [GO:0019430]; response to axon injury [GO:0048678]; response to ethanol [GO:0045471]; response to heat [GO:0009408]; response to hydrogen peroxide [GO:0042542]; response to organic substance [GO:0010033]; response to superoxide [GO:0000303]; retina homeostasis [GO:0001895]; sensory perception of sound [GO:0007605]; spermatogenesis [GO:0007283]; superoxide metabolic process [GO:0006801]; transmission of nerve impulse [GO:0019226]	GO:0000303; GO:0001541; GO:0001819; GO:0001895; GO:0002262; GO:0004784; GO:0005507; GO:0005634; GO:0005737; GO:0005739; GO:0005777; GO:0005829; GO:0006749; GO:0006801; GO:0006879; GO:0007283; GO:0007566; GO:0007605; GO:0007626; GO:0008217; GO:0008270; GO:0009408; GO:0010033; GO:0019226; GO:0019430; GO:0030346; GO:0031410; GO:0032287; GO:0032839; GO:0032991; GO:0040014; GO:0042542; GO:0043025; GO:0043085; GO:0043410; GO:0043524; GO:0045471; GO:0045541; GO:0045859; GO:0046716; GO:0048678; GO:0050665; GO:0051087; GO:0051881; GO:0060047; GO:0060052; GO:0060087; GO:0060088; GO:0072593
Ab_contig_891	Q25380	1.55e-42	Actin, cytoskeletal 4 (EC 3.6.4.-) (LPC4)	Lytechinus pictus (Painted sea urchin)		GO:0005524; GO:0005737; GO:0005856; GO:0016787
Ab_contig_897	P62972	6.31e-54	Polyubiquitin [Cleaved into: Ubiquitin]	Xenopus laevis (African clawed frog)		GO:0005634; GO:0005737
Ab_contig_897	P62972	2.3e-34	Polyubiquitin [Cleaved into: Ubiquitin]	Xenopus laevis (African clawed frog)		GO:0005634; GO:0005737
Ab_contig_905	Q95VA8	7.83e-23	Tropomyosin	Trichinella spiralis (Trichina worm)		
Ab_contig_913	Q6PBF0	2.56e-53	60S ribosomal protein L8	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	translation [GO:0006412]	GO:0003735; GO:0005737; GO:0006412; GO:0015934; GO:0019843
Ab_contig_936	A6NMZ7	1.49e-21	Collagen alpha-6(VI) chain	Homo sapiens (Human)	cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]	GO:0005576; GO:0005581; GO:0007155; GO:0030198; GO:0031012; GO:0062023
Ab_contig_938	Q94516	2.47e-29	ATP synthase subunit b, mitochondrial (ATPase subunit b) (FO-ATP synthase subunit b)	Drosophila melanogaster (Fruit fly)	proton motive force-driven ATP synthesis [GO:0015986]; proton transmembrane transport [GO:1902600]	GO:0000274; GO:0000276; GO:0005739; GO:0015078; GO:0015986; GO:1902600
Ab_contig_941	Q9PRL8	3.22e-36	Acyl-CoA-binding protein (ACBP) (Diazepam-binding inhibitor) (DBI)	Gallus gallus (Chicken)	fatty acid metabolic process [GO:0006631]	GO:0000062; GO:0005783; GO:0005794; GO:0006631
Ab_contig_961	P29957	1.36e-31	Alpha-amylase (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase)	Pseudoalteromonas haloplanktis (Alteromonas haloplanktis)	carbohydrate metabolic process [GO:0005975]	GO:0004556; GO:0005576; GO:0005975; GO:0046872
Ab_contig_962	Q9D7Q1	3.43e-43	Chitotriosidase-1 (EC 3.2.1.14) (Chitinase-1)	Mus musculus (Mouse)	chitin catabolic process [GO:0006032]; polysaccharide catabolic process [GO:0000272]	GO:0000272; GO:0004568; GO:0005576; GO:0005615; GO:0005764; GO:0006032; GO:0008061; GO:0008843
Ab_contig_998	Q9VQ29	1.57e-56	NA	NA	NA	NA
